Quake Number,Location,Magnitude,Time
49,"M 4.5 - 13km S of Lardos, Greece",4.5,2019-10-05 08:51:38
50,"M 5.1 - 29km NNW of Finschhafen, Papua New Guinea",5.1,2019-10-05 08:28:49
51,"M 4.9 - 206km NW of Saumlaki, Indonesia",4.9,2019-10-05 07:33:11
52,"M 4.7 - 21km WNW of Agat Village, Guam",4.7,2019-10-05 05:40:00
53,"M 4.7 - 78km NNW of Sola, Vanuatu",4.7,2019-10-05 00:10:52
54,"M 4.6 - 47km W of Dobo, Indonesia",4.6,2019-10-04 23:27:27
55,"M 5.0 - 29km WNW of Little Sitkin Island, Alaska",5,2019-10-04 21:48:16
56,M 4.7 - Fiji region,4.7,2019-10-04 18:38:50
57,"M 4.3 - 3km WSW of Samara, Costa Rica",4.3,2019-10-04 13:52:35
58,"M 4.9 - 29km WNW of Panguna, Papua New Guinea",4.9,2019-10-04 11:03:49
59,"M 4.0 - 48km WSW of Abra Pampa, Argentina",4,2019-10-04 08:55:05
60,"M 5.0 - 63km NNW of Dobo, Indonesia",5,2019-10-04 07:19:30
61,"M 5.0 - 71km WNW of Talkeetna, Alaska",5,2019-10-04 06:28:03
62,"M 4.3 - 80km W of San Antonio de los Cobres, Argentina",4.3,2019-10-04 06:14:55
63,"M 4.3 - 110km ENE of Hasaki, Japan",4.3,2019-10-04 04:57:31
64,"M 4.0 - 62km NNW of San Antonio, Puerto Rico",4.04,2019-10-04 01:47:15
65,M 4.8 - Scotia Sea,4.8,2019-10-04 00:14:12
66,"M 4.9 - 93km W of Arica, Chile",4.9,2019-10-03 22:02:26
67,"M 4.5 - 141km WNW of Coquimbo, Chile",4.5,2019-10-03 21:08:11
68,"M 4.7 - 63km E of Bitung, Indonesia",4.7,2019-10-03 18:45:57
69,"M 4.5 - 40km NE of Roshtqal'a, Tajikistan",4.5,2019-10-03 16:02:57
70,"M 4.7 - 232km W of Abepura, Indonesia",4.7,2019-10-03 15:12:25
71,"M 4.4 - 8km ESE of Jahrom, Iran",4.4,2019-10-03 12:27:23
72,"M 4.3 - 206km W of Abepura, Indonesia",4.3,2019-10-03 12:26:11
73,"M 5.5 - 251km W of Abepura, Indonesia",5.5,2019-10-03 08:33:09
74,"M 4.8 - 243km ESE of Nikol'skoye, Russia",4.8,2019-10-03 03:48:42
75,"M 4.5 - 115km ESE of Pangai, Tonga",4.5,2019-10-03 02:57:05
76,"M 4.7 - 14km SSE of Pelau, Indonesia",4.7,2019-10-03 02:41:19
77,"M 4.4 - 95km SW of Jiquilillo, Nicaragua",4.4,2019-10-03 01:34:56
78,"M 4.9 - 8km ENE of Imphal, India",4.9,2019-10-03 00:24:44
79,"M 4.4 - 37km WNW of Bantogon, Philippines",4.4,2019-10-03 00:11:09
80,"M 4.6 - 14km NNW of Wawa, Philippines",4.6,2019-10-02 22:55:00
81,"M 5.1 - 36km ESE of Faliraki, Greece",5.1,2019-10-02 22:44:56
82,"M 4.7 - 128km ENE of Miyako, Japan",4.7,2019-10-02 21:55:46
83,"M 4.9 - 53km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",4.9,2019-10-02 19:55:10
84,"M 5.1 - 205km WSW of Visokoi Island, South Georgia and the South Sandwich Islands",5.1,2019-10-02 19:11:43
85,"M 4.5 - 60km SE of Ozernovskiy, Russia",4.5,2019-10-02 18:39:25
86,"M 4.3 - 49km W of Murghob, Tajikistan",4.3,2019-10-02 16:28:55
87,"M 4.5 - 7km NW of Sechura, Peru",4.5,2019-10-02 15:43:00
88,"M 4.6 - 76km SW of Banda Aceh, Indonesia",4.6,2019-10-02 15:38:19
89,"M 4.6 - 132km NE of Agrihan, Northern Mariana Islands",4.6,2019-10-02 14:10:54
90,"M 4.8 - 81km SE of San Pedro de Atacama, Chile",4.8,2019-10-02 11:26:50
91,"M 4.5 - 124km SSE of Hachijo-jima, Japan",4.5,2019-10-02 08:58:49
92,"M 4.4 - 138km ENE of Miyako, Japan",4.4,2019-10-02 08:54:25
93,"M 5.1 - 196km W of Abepura, Indonesia",5.1,2019-10-02 08:24:31
94,"M 4.5 - 0km S of Lucsuhin, Philippines",4.5,2019-10-02 07:53:22
95,"M 4.2 - 109km SW of Kokopo, Papua New Guinea",4.2,2019-10-02 07:50:15
96,"M 4.5 - 233km E of Amahai, Indonesia",4.5,2019-10-02 06:54:29
97,"M 4.6 - 3km SE of Corredor, Costa Rica",4.6,2019-10-02 06:52:54
98,"M 5.0 - 66km NNE of Xujiaba, China",5,2019-10-02 06:04:35
99,"M 4.1 - 61km NNW of San Antonio, Puerto Rico",4.08,2019-10-02 05:08:11
100,"M 4.4 - 109km ESE of Ol'ga, Russia",4.4,2019-10-02 05:04:16
101,M 4.7 - Carlsberg Ridge,4.7,2019-10-02 04:29:55
102,"M 5.2 - 39km S of San Mateo del Mar, Mexico",5.2,2019-10-02 04:13:11
103,"M 4.1 - 50km S of San Mateo del Mar, Mexico",4.1,2019-10-02 04:07:14
104,"M 4.1 - 67km NW of San Antonio de los Cobres, Argentina",4.1,2019-10-02 03:18:31
105,"M 4.3 - 68km W of San Antonio de los Cobres, Argentina",4.3,2019-10-02 02:52:35
106,"M 4.7 - 147km W of Coquimbo, Chile",4.7,2019-10-02 01:11:10
107,"M 4.3 - 18km ESE of Farkhar, Afghanistan",4.3,2019-10-01 21:23:49
108,"M 4.8 - 223km E of Yamada, Japan",4.8,2019-10-01 19:43:14
109,M 5.2 - Southern Mid-Atlantic Ridge,5.2,2019-10-01 16:25:08
110,"M 5.5 - 91km SSW of Macquarie Island, Australia",5.5,2019-10-01 13:57:10
111,"M 4.6 - 84km NW of San Antonio de los Cobres, Argentina",4.6,2019-10-01 13:23:46
112,"M 4.5 - 241km SE of Amahai, Indonesia",4.5,2019-10-01 05:42:54
113,"M 4.2 - 7km SW of Santiago Pinotepa Nacional, Mexico",4.2,2019-10-01 05:26:58
114,"M 4.5 - 46km SSE of Caucete, Argentina",4.5,2019-10-01 03:46:40
115,"M 4.2 - 67km E of Akutan, Alaska",4.2,2019-10-01 03:15:46
116,M 5.2 - Broken Ridge,5.2,2019-10-01 01:41:53
117,"M 4.9 - 254km NNW of Farallon de Pajaros, Northern Mariana Islands",4.9,2019-10-01 00:32:19
118,"M 5.3 - 37km SE of Wairoa, New Zealand",5.3,2019-09-30 23:16:38
119,"M 4.4 - 113km W of El Aguilar, Argentina",4.4,2019-09-30 22:26:18
120,M 5.9 - Southern East Pacific Rise,5.9,2019-09-30 21:56:07
121,"M 4.3 - 38km S of La Libertad, El Salvador",4.3,2019-09-30 21:06:30
122,"M 4.3 - 23km SSW of Nueva Concepcion, Guatemala",4.3,2019-09-30 20:45:35
123,"M 4.4 - 9km S of Taitung City, Taiwan",4.4,2019-09-30 20:17:50
124,"M 4.5 - 9km NE of Cruz Grande, Mexico",4.5,2019-09-30 17:15:35
125,"M 4.0 - 20km N of Snyder, Texas",4,2019-09-30 15:47:12
126,"M 4.3 - 38km S of San Mateo del Mar, Mexico",4.3,2019-09-30 15:31:37
127,"M 4.3 - 86km NW of Queenstown, New Zealand",4.3,2019-09-30 15:07:27
128,"M 4.6 - 58km ESE of Madang, Papua New Guinea",4.6,2019-09-30 12:40:41
129,"M 5.0 - 94km ESE of Ol'ga, Russia",5,2019-09-30 11:56:07
130,"M 4.6 - 128km SW of Kokopo, Papua New Guinea",4.6,2019-09-30 09:37:32
131,"M 4.3 - 66km WSW of Constitucion, Chile",4.3,2019-09-30 09:17:37
132,"M 4.7 - 142km SSE of Lambasa, Fiji",4.7,2019-09-30 07:39:33
133,"M 4.7 - 140km SSE of Lambasa, Fiji",4.7,2019-09-30 07:30:10
134,"M 4.5 - 45km N of Arzak, China",4.5,2019-09-30 06:24:25
135,"M 5.6 - 40km NE of Calama, Chile",5.6,2019-09-30 05:53:22
136,"M 4.4 - 65km WSW of Constitucion, Chile",4.4,2019-09-30 04:35:16
137,M 4.7 - Kuril Islands,4.7,2019-09-30 04:32:12
138,"M 4.8 - 158km WNW of Constitucion, Chile",4.8,2019-09-30 03:21:50
139,"M 4.7 - 42km ESE of General Luna, Philippines",4.7,2019-09-30 00:10:16
140,"M 4.1 - 179km SE of Kuqa, China",4.1,2019-09-30 00:04:15
141,"M 4.4 - 64km S of Gefyra, Greece",4.4,2019-09-29 23:39:32
142,"M 4.7 - 50km WSW of Constitucion, Chile",4.7,2019-09-29 22:49:34
143,"M 4.9 - 121km SW of Kokopo, Papua New Guinea",4.9,2019-09-29 22:35:30
144,"M 4.3 - 57km SSW of Acajutla, El Salvador",4.3,2019-09-29 19:03:59
145,"M 5.2 - 89km SSW of Acajutla, El Salvador",5.2,2019-09-29 15:00:01
146,"M 4.4 - 66km SSW of Acajutla, El Salvador",4.4,2019-09-29 14:25:16
147,"M 5.3 - 54km WSW of Constitucion, Chile",5.3,2019-09-29 14:11:58
148,"M 4.4 - 73km WSW of Constitucion, Chile",4.4,2019-09-29 12:45:58
149,"M 4.5 - 62km WSW of Constitucion, Chile",4.5,2019-09-29 12:28:36
150,"M 4.5 - 143km NW of Tobelo, Indonesia",4.5,2019-09-29 12:02:20
151,"M 4.4 - 87km W of Constitucion, Chile",4.4,2019-09-29 11:48:10
152,"M 4.8 - 143km NW of Tobelo, Indonesia",4.8,2019-09-29 11:41:56
153,"M 4.3 - 65km WSW of Constitucion, Chile",4.3,2019-09-29 11:12:35
154,"M 4.0 - 265km SE of Kodiak, Alaska",4,2019-09-29 10:45:00
155,"M 4.7 - 70km WSW of Constitucion, Chile",4.7,2019-09-29 10:39:55
156,"M 4.2 - 63km W of Constitucion, Chile",4.2,2019-09-29 10:21:35
157,"M 4.0 - 75km WSW of Constitucion, Chile",4,2019-09-29 10:13:01
158,"M 5.2 - 75km W of Constitucion, Chile",5.2,2019-09-29 10:09:46
159,"M 4.9 - 8km SSW of Hitachi, Japan",4.9,2019-09-29 10:02:32
160,"M 6.7 - 69km WSW of Constitucion, Chile",6.7,2019-09-29 09:57:53
161,M 4.9 - Carlsberg Ridge,4.9,2019-09-29 08:10:14
162,M 5.3 - Carlsberg Ridge,5.3,2019-09-29 07:44:52
163,"M 4.5 - 99km SSE of Pondaguitan, Philippines",4.5,2019-09-29 07:11:17
164,"M 4.5 - 74km W of San Antonio de los Cobres, Argentina",4.5,2019-09-29 06:32:54
165,"M 5.0 - 85km NNW of Dibulla, Colombia",5,2019-09-29 05:19:59
166,"M 4.5 - 29km ENE of Palomares, Mexico",4.5,2019-09-29 04:45:45
167,"M 4.2 - 100km W of San Antonio de los Cobres, Argentina",4.2,2019-09-29 03:50:00
168,"M 4.7 - 141km WSW of Bamboo Flat, India",4.7,2019-09-29 03:02:12
169,"M 5.1 - 88km SSE of Pondaguitan, Philippines",5.1,2019-09-29 01:40:18
170,"M 4.4 - 23km SSE of General Enrique Mosconi, Argentina",4.4,2019-09-28 23:21:23
171,"M 4.8 - 194km NNW of Farallon de Pajaros, Northern Mariana Islands",4.8,2019-09-28 21:48:18
172,"M 4.3 - 146km N of Calama, Chile",4.3,2019-09-28 20:14:57
173,"M 6.2 - 84km SSE of Pondaguitan, Philippines",6.2,2019-09-28 20:02:52
174,"M 4.4 - 83km WNW of El Aguilar, Argentina",4.4,2019-09-28 19:14:13
175,"M 5.1 - 122km ESE of Novaya Chara, Russia",5.1,2019-09-28 15:28:09
176,"M 4.9 - 31km N of Lae, Papua New Guinea",4.9,2019-09-28 14:01:29
177,"M 5.0 - 300km NNE of Amsterdam Island, France",5,2019-09-28 12:19:15
178,"M 4.5 - 19km SSW of Rota, Northern Mariana Islands",4.5,2019-09-28 11:09:36
179,"M 4.0 - 128km SSE of San Pedro de Atacama, Chile",4,2019-09-28 02:00:26
180,"M 4.6 - 110km SSE of Putre, Chile",4.6,2019-09-28 01:23:29
181,"M 4.3 - 124km SW of Pijijiapan, Mexico",4.3,2019-09-27 22:15:02
182,"M 5.2 - 261km SW of Vaini, Tonga",5.2,2019-09-27 22:07:58
183,"M 4.3 - 55km ENE of Vinchina, Argentina",4.3,2019-09-27 19:53:02
184,"M 4.8 - 77km SE of Unalaska, Alaska",4.8,2019-09-27 17:27:32
185,M 4.5 - South of the Fiji Islands,4.5,2019-09-27 16:27:50
186,"M 4.9 - 82km SSE of Haswayn, Yemen",4.9,2019-09-27 11:48:27
187,"M 4.7 - 145km E of Neiafu, Tonga",4.7,2019-09-27 09:15:44
188,M 5.8 - Southeast of Easter Island,5.8,2019-09-27 09:11:29
189,"M 5.0 - 85km S of Raoul Island, New Zealand",5,2019-09-27 08:02:06
190,"M 4.6 - 23km E of Orcopampa, Peru",4.6,2019-09-27 07:57:41
191,"M 4.3 - 17km N of El Angel, Ecuador",4.3,2019-09-27 07:44:43
192,"M 6.0 - 96km S of Raoul Island, New Zealand",6,2019-09-27 06:05:02
193,"M 4.6 - 81km SSW of Calama, Chile",4.6,2019-09-27 05:21:24
194,"M 4.6 - 44km SE of Ofunato, Japan",4.6,2019-09-27 05:11:00
195,"M 5.0 - Southern Xinjiang, China",5,2019-09-27 04:58:29
196,"M 4.1 - 61km SE of Unalaska, Alaska",4.1,2019-09-27 02:01:44
197,"M 4.4 - 144km N of Calama, Chile",4.4,2019-09-27 01:29:35
198,"M 4.5 - 54km SSW of Campoverde, Peru",4.5,2019-09-26 22:32:43
199,"M 4.7 - 49km N of San Antonio, Puerto Rico",4.7,2019-09-26 21:51:38
200,"M 4.6 - 109km S of Kushiro, Japan",4.6,2019-09-26 21:32:29
201,"M 4.4 - 239km ENE of Dili, East Timor",4.4,2019-09-26 21:25:36
202,"M 5.0 - 156km NNW of Visokoi Island, South Georgia and the South Sandwich Islands",5,2019-09-26 21:19:01
203,"M 4.8 - 38km ENE of Pucallpa, Peru",4.8,2019-09-26 21:17:59
204,"M 4.6 - 155km SSW of Ndoi Island, Fiji",4.6,2019-09-26 20:29:39
205,M 5.2 - South of the Fiji Islands,5.2,2019-09-26 20:18:41
206,"M 4.0 - 51km S of Yunaska Island, Alaska",4,2019-09-26 20:00:00
207,"M 4.5 - 24km SSE of Nishinoomote, Japan",4.5,2019-09-26 18:41:06
208,"M 4.2 - 132km NW of Fort Liard, Canada",4.2,2019-09-26 17:32:06
209,"M 4.1 - 72km WNW of San Antonio de los Cobres, Argentina",4.1,2019-09-26 16:18:11
210,"M 5.4 - 11km NNW of Coquimbo, Chile",5.4,2019-09-26 14:31:29
211,"M 4.3 - 24km SE of Marmaraereglisi, Turkey",4.3,2019-09-26 14:20:18
212,"M 4.7 - 161km SW of Bamboo Flat, India",4.7,2019-09-26 13:15:32
213,"M 5.1 - 60km SSW of Honiara, Solomon Islands",5.1,2019-09-26 13:07:40
214,"M 4.6 - 95km SSW of Biha, Indonesia",4.6,2019-09-26 13:03:14
215,M 5.5 - Central East Pacific Rise,5.5,2019-09-26 13:00:41
216,"M 4.9 - 272km E of Qiemo, China",4.9,2019-09-26 11:17:12
217,"M 6.1 - 30km WSW of Villa La Angostura, Argentina",6.1,2019-09-26 10:36:18
218,"M 4.9 - 187km ENE of Raoul Island, New Zealand",4.9,2019-09-26 07:07:00
219,"M 4.4 - 15km SSE of Lamjung, Nepal",4.4,2019-09-26 07:04:21
220,"M 4.8 - 212km W of Frontera, Spain",4.8,2019-09-26 07:02:08
221,"M 4.4 - 23km ESE of Marmaraereglisi, Turkey",4.4,2019-09-26 05:26:37
222,"M 5.1 - 153km SE of Kandrian, Papua New Guinea",5.1,2019-09-26 05:08:36
223,"M 5.7 - 20km ESE of Marmaraereglisi, Turkey",5.7,2019-09-26 04:59:26
224,"M 4.8 - 151km ESE of Nago, Japan",4.8,2019-09-26 04:31:40
225,"M 4.5 - 25km S of Sola, Vanuatu",4.5,2019-09-26 03:47:00
226,"M 4.7 - 4km WNW of New Mirpur, Pakistan",4.7,2019-09-26 01:01:26
227,"M 4.5 - 38km SSW of Karakul, Tajikistan",4.5,2019-09-26 00:57:06
228,"M 4.2 - 15km ESE of Tulehu, Indonesia",4.2,2019-09-25 23:28:41
229,"M 4.2 - 55km NNW of Isabela, Puerto Rico",4.2,2019-09-25 20:12:39
230,"M 4.8 - 22km SSW of Nemuro, Japan",4.8,2019-09-25 20:12:25
231,"M 4.6 - 107km NE of Kurumkan, Russia",4.6,2019-09-25 19:22:25
232,"M 5.4 - 10km S of Pelau, Indonesia",5.4,2019-09-25 18:39:59
233,"M 4.3 - 29km SSW of Kuhdasht, Iran",4.3,2019-09-25 18:35:31
234,"M 6.5 - 10km S of Kairatu, Indonesia",6.5,2019-09-25 17:46:44
235,"M 4.6 - 19km NNW of Cempa, Indonesia",4.6,2019-09-25 17:44:27
236,"M 4.1 - 93km W of El Aguilar, Argentina",4.1,2019-09-25 15:59:47
237,"M 4.8 - 31km E of Aras-asan, Philippines",4.8,2019-09-25 14:57:35
238,M 5.4 - Southern Mid-Atlantic Ridge,5.4,2019-09-25 14:18:30
239,M 5.2 - Southern Mid-Atlantic Ridge,5.2,2019-09-25 14:15:54
240,"M 5.2 - 86km NNE of Finschhafen, Papua New Guinea",5.2,2019-09-25 13:54:28
241,"M 5.3 - 36km SE of Belen, Argentina",5.3,2019-09-25 13:43:22
242,"M 5.3 - 5km WSW of Ambunti, Papua New Guinea",5.3,2019-09-25 09:57:33
243,"M 4.5 - 156km S of Pirgos, Greece",4.5,2019-09-25 09:21:51
244,"M 4.6 - 169km NNW of Dili, East Timor",4.6,2019-09-25 08:39:27
245,"M 4.0 - 16km SW of Healy, Alaska",4,2019-09-25 07:45:13
246,"M 4.6 - 29km SSE of Les Cayes, Haiti",4.6,2019-09-25 07:44:37
247,"M 4.9 - 245km SE of Lambasa, Fiji",4.9,2019-09-25 07:04:41
248,"M 4.4 - 30km W of Piru, Indonesia",4.4,2019-09-25 05:35:59
249,"M 4.9 - 155km ESE of Ohara, Japan",4.9,2019-09-25 03:29:33
250,"M 4.9 - 16km E of Otsuchi, Japan",4.9,2019-09-25 02:28:49
251,"M 4.8 - 63km NE of Bristol Island, South Sandwich Islands",4.8,2019-09-25 01:28:08
252,"M 5.2 - 164km NE of Neiafu, Tonga",5.2,2019-09-24 22:29:11
253,"M 4.4 - 1km SE of Durres, Albania",4.4,2019-09-24 19:24:03
254,"M 4.4 - 62km N of Isabela, Puerto Rico",4.41,2019-09-24 19:05:10
255,"M 4.8 - 33km SSW of Ndoi Island, Fiji",4.8,2019-09-24 19:02:05
256,M 4.5 - South of the Fiji Islands,4.5,2019-09-24 18:17:44
257,"M 4.8 - 68km N of San Antonio, Puerto Rico",4.84,2019-09-24 18:12:09
258,M 4.9 - Southwest Indian Ridge,4.9,2019-09-24 15:29:40
259,M 5.1 - Southwest Indian Ridge,5.1,2019-09-24 15:25:10
260,M 6.1 - Southwest Indian Ridge,6.1,2019-09-24 15:19:47
261,M 5.1 - Southwest Indian Ridge,5.1,2019-09-24 15:12:01
262,"M 4.7 - 298km N of Tobelo, Indonesia",4.7,2019-09-24 10:55:20
263,"M 4.5 - 65km E of Hualian, Taiwan",4.5,2019-09-24 10:48:14
264,"M 4.1 - 251km N of Scott Island Bank, Antarctica",4.1,2019-09-24 10:45:38
265,"M 4.1 - 276km N of Ndoi Island, Fiji",4.1,2019-09-24 08:34:53
266,"M 4.6 - 224km ESE of Boddam, United Kingdom",4.6,2019-09-24 07:38:14
267,"M 4.3 - 22km SSE of Jarm, Afghanistan",4.3,2019-09-24 05:38:53
268,"M 5.6 - 3km S of New Mirpur, Pakistan",5.6,2019-09-24 05:01:55
269,"M 4.5 - Kepulauan Barat Daya, Indonesia",4.5,2019-09-24 04:27:01
270,"M 4.7 - 214km SSE of Tonosi, Panama",4.7,2019-09-24 04:15:56
271,"M 4.9 - 16km W of San Nicolas, Philippines",4.9,2019-09-24 03:42:46
272,"M 4.7 - 35km ESE of Masjed Soleyman, Iran",4.7,2019-09-24 03:02:00
273,"M 4.3 - 78km SW of Champerico, Guatemala",4.3,2019-09-24 02:59:40
274,"M 4.3 - 41km WSW of Porgera, Papua New Guinea",4.3,2019-09-24 02:01:36
275,"M 4.9 - 23km S of Silivri, Turkey",4.9,2019-09-24 02:00:24
276,"M 4.9 - 90km SSE of Makry Gialos, Greece",4.9,2019-09-24 01:48:57
277,"M 5.3 - 41km SE of Ndoi Island, Fiji",5.3,2019-09-24 01:18:38
278,"M 4.3 - 63km NNW of San Antonio, Puerto Rico",4.27,2019-09-23 22:09:51
279,"M 4.5 - 202km W of Broome, Australia",4.5,2019-09-23 21:51:38
280,"M 4.4 - 65km N of San Antonio, Puerto Rico",4.4,2019-09-23 21:51:09
281,"M 5.1 - 54km NNW of San Antonio, Puerto Rico",5.06,2019-09-23 21:32:41
282,"M 6.0 - 69km NNW of San Antonio, Puerto Rico",6,2019-09-23 21:23:40
283,"M 4.4 - 122km SE of Petropavlovsk-Kamchatskiy, Russia",4.4,2019-09-23 17:20:35
284,"M 4.9 - 121km SE of Petropavlovsk-Kamchatskiy, Russia",4.9,2019-09-23 15:55:00
285,"M 4.1 - 142km ESE of Nikolski, Alaska",4.1,2019-09-23 14:14:20
286,"M 4.3 - 117km SSW of Sigave, Wallis and Futuna",4.3,2019-09-23 13:53:26
287,"M 4.0 - 135km ESE of Nikolski, Alaska",4,2019-09-23 12:04:43
288,"M 4.0 - 154km ESE of Nikolski, Alaska",4,2019-09-23 11:56:54
289,"M 5.3 - 139km ESE of Nikolski, Alaska",5.3,2019-09-23 11:51:09
290,"M 4.2 - 114km SSW of Ndoi Island, Fiji",4.2,2019-09-23 10:24:18
291,M 4.2 - Southeast Indian Ridge,4.2,2019-09-23 09:33:37
292,"M 4.7 - 30km E of Aras-asan, Philippines",4.7,2019-09-23 08:34:47
293,"M 4.5 - 88km SE of Farallon de Pajaros, Northern Mariana Islands",4.5,2019-09-23 08:18:37
294,"M 4.2 - 133km W of Hihifo, Tonga",4.2,2019-09-23 08:02:48
295,M 4.1 - South of the Fiji Islands,4.1,2019-09-23 07:27:07
296,"M 4.4 - 52km SE of Severobaykal'sk, Russia",4.4,2019-09-23 05:31:16
297,"M 4.3 - 23km NW of Motuo, China",4.3,2019-09-23 03:36:25
298,"M 4.2 - 76km NNE of Santa Rosalia, Mexico",4.2,2019-09-23 03:28:43
299,"M 5.2 - 166km NNE of Rumung, Micronesia",5.2,2019-09-23 02:54:22
300,"M 5.3 - 96km NW of Talcahuano, Chile",5.3,2019-09-23 02:24:39
301,"M 4.4 - 54km N of Karpathos, Greece",4.4,2019-09-23 01:09:03
302,"M 4.3 - 90km S of Pangai, Tonga",4.3,2019-09-22 21:51:02
303,"M 4.6 - 162km E of Nago, Japan",4.6,2019-09-22 19:47:04
304,M 4.3 - Carlsberg Ridge,4.3,2019-09-22 18:40:31
305,"M 4.5 - 121km WNW of Arawa, Papua New Guinea",4.5,2019-09-22 17:24:19
306,"M 5.1 - 232km SW of Biha, Indonesia",5.1,2019-09-22 16:32:24
307,"M 4.2 - 217km NNE of Kali, Indonesia",4.2,2019-09-22 16:22:35
308,"M 4.6 - 16km WSW of Coahuayana, Mexico",4.6,2019-09-22 16:12:31
309,"M 4.5 - 9km WNW of Fushe-Kruje, Albania",4.5,2019-09-22 14:08:41
310,"M 4.7 - 281km N of Ndoi Island, Fiji",4.7,2019-09-22 10:29:55
311,"M 4.5 - 12km SE of Chame, Nepal",4.5,2019-09-22 10:17:01
312,M 4.4 - Carlsberg Ridge,4.4,2019-09-22 08:34:20
313,"M 4.6 - 286km NNW of Chichi-shima, Japan",4.6,2019-09-22 08:15:27
